service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
8_merged_2013844,20140413,20140816,0,0,0,0,0,0,0
21_merged_2013864,20140817,20141206,0,0,0,0,0,0,0
4_merged_2013874,20140817,20141206,1,1,1,1,1,0,0
123704_merged_2013860,20140817,20141206,0,0,0,0,0,0,0
71304_merged_2013886,20140817,20141206,0,0,0,0,0,0,0
128004_merged_2013859,20140817,20141206,0,0,0,0,0,0,0
123704_merged_2013827,20140413,20140816,0,0,0,0,0,0,0
18_merged_2013857,20140413,20140816,0,0,0,0,0,0,0
24904_merged_2013875,20140817,20141206,0,0,0,0,0,0,0
11_merged_2013848,20140413,20140816,0,0,0,0,0,0,0
1004_merged_2013858,20140413,20140816,0,0,0,0,0,0,0
25_merged_2013862,20140817,20141206,0,0,0,0,0,0,0
16_merged_2013888,20140817,20141206,0,0,0,0,0,0,0
12704_merged_2013847,20140413,20140816,0,0,0,0,0,0,0
116303,20140413,20140816,0,0,0,0,0,0,0
9_merged_2013843,20140413,20140816,0,0,0,0,0,0,0
32404_merged_2013845,20140413,20140816,0,0,0,0,0,0,0
150804_merged_2013869,20140817,20141206,0,0,0,0,0,0,0
82404_merged_2013868,20140817,20141206,0,0,0,0,0,0,0
10_merged_2013849,20140413,20140816,0,0,0,0,0,0,0
2_merged_2013840,20140413,20140816,0,0,0,0,0,1,0
168202_merged_2013846,20140413,20140816,0,0,0,0,0,0,0
20_merged_2013863,20140817,20141206,0,0,0,0,0,0,0
16_merged_2013855,20140413,20140816,0,0,0,0,0,0,0
19_merged_2013856,20140413,20140816,0,0,0,0,0,0,0
46304,20140817,20141206,0,0,0,0,0,0,0
11_merged_2013881,20140817,20141206,0,0,0,0,0,0,0
84204,20140413,20140816,0,0,0,0,0,0,0
12_merged_2013851,20140413,20140816,0,0,0,0,0,0,0
15_merged_2013852,20140413,20140816,0,0,0,0,0,0,0
13304_merged_2013867,20140817,20141206,0,0,0,0,0,0,0
3_merged_2013839,20140413,20140816,0,0,0,0,0,0,1
22_merged_2013832,20140413,20140816,0,0,0,0,0,0,0
24_merged_2013828,20140413,20140816,0,0,0,0,0,0,0
19_merged_2013889,20140817,20141206,0,0,0,0,0,0,0
8_merged_2013877,20140817,20141206,0,0,0,0,0,0,0
32404_merged_2013878,20140817,20141206,0,0,0,0,0,0,0
1_merged_2013871,20140817,20141206,0,0,0,0,0,0,0
1_merged_2013838,20140413,20140816,0,0,0,0,0,0,0
24_merged_2013861,20140817,20141206,0,0,0,0,0,0,0
10_merged_2013882,20140817,20141206,0,0,0,0,0,0,0
71304_merged_2013853,20140413,20140816,0,0,0,0,0,0,0
17_merged_2013887,20140817,20141206,0,0,0,0,0,0,0
1004_merged_2013891,20140817,20141206,0,0,0,0,0,0,0
23_merged_2013866,20140817,20141206,0,0,0,0,0,0,0
15_merged_2013885,20140817,20141206,0,0,0,0,0,0,0
57902_merged_2013837,20140413,20140816,0,0,0,0,0,0,0
150804_merged_2013836,20140413,20140816,0,0,0,0,0,0,0
3_merged_2013872,20140817,20141206,0,0,0,0,0,0,1
18_merged_2013890,20140817,20141206,0,0,0,0,0,0,0
2_merged_2013873,20140817,20141206,0,0,0,0,0,1,0
168202_merged_2013879,20140817,20141206,0,0,0,0,0,0,0
13_merged_2013883,20140817,20141206,0,0,0,0,0,0,0
128004_merged_2013826,20140413,20140816,0,0,0,0,0,0,0
23_merged_2013833,20140413,20140816,0,0,0,0,0,0,0
9_merged_2013876,20140817,20141206,0,0,0,0,0,0,0
17_merged_2013854,20140413,20140816,0,0,0,0,0,0,0
25_merged_2013829,20140413,20140816,0,0,0,0,0,0,0
13304_merged_2013834,20140413,20140816,0,0,0,0,0,0,0
12_merged_2013884,20140817,20141206,0,0,0,0,0,0,0
13_merged_2013850,20140413,20140816,0,0,0,0,0,0,0
82404_merged_2013835,20140413,20140816,0,0,0,0,0,0,0
24904_merged_2013842,20140413,20140816,0,0,0,0,0,0,0
21_merged_2013831,20140413,20140816,0,0,0,0,0,0,0
4_merged_2013841,20140413,20140816,1,1,1,1,1,0,0
57902_merged_2013870,20140817,20141206,0,0,0,0,0,0,0
12704_merged_2013880,20140817,20141206,0,0,0,0,0,0,0
22_merged_2013865,20140817,20141206,0,0,0,0,0,0,0
20_merged_2013830,20140413,20140816,0,0,0,0,0,0,0
