route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
HAFB SOUTH GATE /  CLFD STATION,3,FFFFFF,3333CC,,51369,,,665
CENTERVILLE,3,FFFFFF,3333CC,,48609,,,471
OGDEN - SALT LAKE INTERCITY,3,FFFFFF,3333CC,,48608,,,470
4700 SOUTH,3,FFFFFF,3333CC,,48607,,,47
WEST BOUNTIFUL,3,FFFFFF,3333CC,,48606,,,463
NORTH SALT LAKE,3,FFFFFF,3333CC,,48605,,,462
BOUNTIFUL via STATE CAPITOL,3,FFFFFF,3333CC,,48604,,,461
WOODS CROSS,3,FFFFFF,3333CC,,48603,,,460
OGDEN/UNISYS/ ROCKY MTN. EXPRESS,3,FFFFFF,3333CC,,48602,,,456
U OF U/DAVIS COUNTY/WSU,3,FFFFFF,3333CC,,48601,,,455
GRANTSVILLE/SALT LAKE,3,FFFFFF,3333CC,,48600,,,454
SOUTH JORDAN FLEX,3,FFFFFF,3333CC,,48759,,,F504
GRANSTVILLE/STANSBURY FLEX,3,FFFFFF,3333CC,,51470,,,F401
GREEN LINE,0,FFFFFF,0BBE02,,51373,,,704
2100 SOUTH / 2100 EAST,3,FFFFFF,3333CC,,51304,,,21
1300 EAST / 1100 EAST,3,FFFFFF,3333CC,,51305,,,213
REDWOOD ROAD,3,FFFFFF,3333CC,,51306,,,217
SANDY/SOUTH JORDAN,3,FFFFFF,3333CC,,51307,,,218
STATE STREET NORTH,3,FFFFFF,3333CC,,51300,,,200
STATE STREET SOUTH,3,FFFFFF,3333CC,,51301,,,201
500 EAST,3,FFFFFF,3333CC,,51302,,,205
900 EAST,3,FFFFFF,3333CC,,51303,,,209
1700 SOUTH,3,FFFFFF,3333CC,,51573,,,17
4700 SOUTH,3,FFFFFF,3333CC,,51572,,,47
4500 SOUTH,3,FFFFFF,3333CC,,51571,,,45
4100 SOUTH,3,FFFFFF,3333CC,,51570,,,41
HIGHLAND DRIVE / 1300 EAST,3,FFFFFF,3333CC,,51308,,,220
2300 EAST/ HOLLADAY BLVD,3,FFFFFF,3333CC,,51309,,,223
FAIRPARK (WEST HS),3,FFFFFF,3333CC,,51396,,,919
900 SOUTH,3,FFFFFF,3333CC,,51574,,,9
RED LINE,0,FFFFFF,FF0000,,51372,,,703
ROSE PARK,3,FFFFFF,3333CC,,48618,,,520
MIDVALE (SHUTTLE),3,FFFFFF,3333CC,,48619,,,525
FARMINGTON / LAGOON SHUTTLE,3,FFFFFF,3333CC,,51370,,,667
OGDEN - SALT LAKE EXPRESS,3,FFFFFF,3333CC,,48610,,,472
SLC - OGDEN HWY 89 EXPRESS,3,FFFFFF,3333CC,,48611,,,473
PARC CENTER / DAVIS COUNTY SHUTTLE,3,FFFFFF,3333CC,,48612,,,477
SL CENTRAL,3,FFFFFF,3333CC,,48613,,,500
900 W SHUTTLE,3,FFFFFF,3333CC,,48614,,,509
INDUSTRIAL BUSINESS PARK SHUTTLE,3,FFFFFF,3333CC,,48615,,,513
POPLAR GROVE / GLENDALE,3,FFFFFF,3333CC,,48616,,,516
FAIRPARK,3,FFFFFF,3333CC,,48617,,,519
TOOELE FLEX,3,FFFFFF,3333CC,,48748,,,F400
GRANSTVILLE/STANSBURY FLEX,3,FFFFFF,3333CC,,48749,,,F401
S-LINE,0,FFFFFF,707070,,51375,,,720
SANDY / U OF U FAST BUS,3,FFFFFF,3333CC,,51322,,,354
3900 SOUTH,3,FFFFFF,3333CC,,51569,,,39
7200 SOUTH,3,FFFFFF,3333CC,,51374,,,72
SANDY / U OF U FAST BUS,3,FFFFFF,3333CC,,48593,,,354
3500 SOUTH,3,FFFFFF,3333CC,,48592,,,35
3300 SOUTH,3,FFFFFF,3333CC,,48591,,,33
HIGHLAND DRIVE FAST BUS,3,FFFFFF,3333CC,,48590,,,320
4500 SOUTH,3,FFFFFF,3333CC,,48597,,,45
4100 SOUTH,3,FFFFFF,3333CC,,48596,,,41
3900 SOUTH,3,FFFFFF,3333CC,,48595,,,39
MAX - 3500 SOUTH,3,FFFFFF,3333CC,,48594,,,35M
NORTH COUNTY/LEHI STATION/UVU,3,FFFFFF,3333CC,,51379,,,807
EAGLE MTN/SARATOGA SPR/LEHI STN/UVU,3,FFFFFF,3333CC,,51378,,,806
