block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_792453,51299,0,University Medical Center,113247,4_merged_2013874,1976063
b_791489,51489,0,Jordan Landing,113665,4_merged_2013874,1974507
b_791689,51299,1,Salt Lake Central Station,113248,4_merged_2013874,1976120
a_774460,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824279
a_776983,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824278
a_777004,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824277
a_774551,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824276
a_774444,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824275
a_776984,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824274
a_774452,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824273
a_774450,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824272
a_774444,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824271
a_776984,48579,0,9400 S 2000 E Park & Ride,107790,4_merged_2013841,1824270
a_792669,48643,1,To Airport,108000,15_merged_2013852,1983992
a_792670,48643,1,To Airport,108000,15_merged_2013852,1983993
a_792673,48643,1,To Airport,108000,15_merged_2013852,1983990
a_792668,48643,1,To Airport,108000,15_merged_2013852,1983991
a_792673,48643,1,To Airport,108000,15_merged_2013852,1983996
a_792668,48643,1,To Airport,108000,15_merged_2013852,1983997
a_792694,48643,1,To Airport,108000,15_merged_2013852,1983994
a_792672,48643,1,To Airport,108000,15_merged_2013852,1983995
b_791073,51353,1,Ogden Transit Center,113393,3_merged_2013872,1970808
a_792669,48643,1,To Airport,108000,15_merged_2013852,1983998
a_792670,48643,1,To Airport,108000,15_merged_2013852,1983999
b_791692,51316,0,Research Park,113284,4_merged_2013874,1968682
b_791690,51299,0,University Medical Center,113247,4_merged_2013874,1976060
b_791089,51357,0,North Ogden,113405,3_merged_2013872,1971070
b_791090,51357,0,North Ogden,113405,3_merged_2013872,1971071
b_791089,51357,0,North Ogden,113405,3_merged_2013872,1971072
b_791089,51357,1,South Ogden,113408,3_merged_2013872,1971073
b_791090,51357,1,South Ogden,113409,3_merged_2013872,1971074
b_791089,51357,1,South Ogden,113409,3_merged_2013872,1971075
b_791090,51357,1,South Ogden,113409,3_merged_2013872,1971076
b_791089,51357,1,South Ogden,113409,3_merged_2013872,1971077
b_791090,51357,1,South Ogden,113409,3_merged_2013872,1971078
b_791090,51357,1,South Ogden,113408,3_merged_2013872,1971079
b_791825,51570,0,5600 W,113752,2_merged_2013873,1975555
b_791781,51570,0,5600 W,113752,2_merged_2013873,1975554
b_791763,51570,0,5600 W,113752,2_merged_2013873,1975553
b_791800,51570,0,5600 W,113752,2_merged_2013873,1975552
b_791779,51570,0,5600 W,113752,2_merged_2013873,1975551
b_791798,51572,1,Murray North Station,113757,2_merged_2013873,1975550
a_771847,48643,1,To Airport,108000,2_merged_2013840,1837476
a_774343,48617,0,Rose Park,107901,4_merged_2013841,1827898
a_774340,48617,0,Rose Park,107901,4_merged_2013841,1827899
a_774378,48576,0,Midvale Center Station,107782,4_merged_2013841,1823599
a_774380,48576,0,Midvale Center Station,107782,4_merged_2013841,1823598
a_774379,48576,0,Midvale Center Station,107782,4_merged_2013841,1823597
a_774376,48576,0,Midvale Center Station,107782,4_merged_2013841,1823596
a_774377,48576,0,Midvale Center Station,107782,4_merged_2013841,1823595
a_774378,48576,0,Midvale Center Station,107782,4_merged_2013841,1823594
a_774380,48576,0,Midvale Center Station,107782,4_merged_2013841,1823593
a_774379,48576,0,Midvale Center Station,107782,4_merged_2013841,1823592
a_774376,48576,0,Midvale Center Station,107782,4_merged_2013841,1823591
a_774377,48576,0,Midvale Center Station,107782,4_merged_2013841,1823590
a_774418,48573,0,Murray North Station,107776,4_merged_2013841,1822806
a_774594,48578,0,Sandy Civic Center Station,107788,2_merged_2013840,1824019
b_792126,51304,0,Central Pointe Station,113257,4_merged_2013874,1977243
a_771794,48641,1,To Salt Lake Central,107983,4_merged_2013841,1836679
b_791694,51299,1,Salt Lake Central Station,113248,4_merged_2013874,1976104
b_791169,51371,0,To Draper,113447,3_merged_2013872,1971941
a_792631,48641,0,To Draper,107978,15_merged_2013852,1983524
a_770491,48628,1,South Ogden,107932,4_merged_2013841,1829157
b_791077,51353,1,Ogden Transit Center,113392,4_merged_2013874,1970914
a_770504,48631,0,5600 West,107943,2_merged_2013840,1829298
